age;job;marital;education;balance;housing;loan;month;duration;campaign;pdays
37;blue-collar;married;secondary;427;yes;yes;jun;371;3;-1
33;self-employed;married;tertiary;483;yes;no;feb;280;2;-1
56;unemployed;married;primary;3391;no;no;apr;243;1;-1
27;housemaid;married;primary;0;yes;no;jul;435;3;-1
21;student;single;secondary;2488;no;no;jun;258;6;169
58;management;married;tertiary;1517;yes;no;jul;7;5;-1
32;self-employed;married;secondary;217;yes;yes;jul;317;5;-1
33;blue-collar;single;secondary;22;no;no;jan;76;2;207
25;student;single;secondary;331;no;no;aug;170;4;-1
25;technician;single;secondary;505;no;yes;nov;386;2;-1
30;services;married;secondary;1808;yes;no;may;83;2;-1
22;admin.;single;secondary;4111;no;yes;aug;65;1;-1
39;blue-collar;married;primary;52;no;no;aug;69;1;-1
46;management;divorced;tertiary;25;no;no;jun;564;2;-1
31;admin.;divorced;secondary;1890;yes;no;jul;588;1;-1
45;blue-collar;married;primary;419;no;no;aug;113;4;-1
32;technician;married;secondary;2693;yes;no;may;16;1;-1
36;blue-collar;married;secondary;-231;no;yes;jul;779;2;-1
51;management;single;tertiary;-55;yes;no;may;281;2;266
34;self-employed;single;tertiary;462;no;no;aug;1877;3;-1
24;unemployed;single;secondary;119;no;no;sep;51;1;-1
45;technician;single;secondary;586;no;yes;jul;32;3;-1
32;blue-collar;single;secondary;228;no;no;feb;176;1;288
77;retired;divorced;tertiary;4659;no;no;apr;161;1;-1
41;blue-collar;married;primary;168;yes;no;nov;187;3;-1
37;blue-collar;married;primary;0;yes;no;may;24;1;-1
43;blue-collar;married;unknown;-715;yes;no;may;67;3;-1
48;admin.;married;unknown;0;yes;no;may;85;1;168
27;technician;single;secondary;769;yes;no;may;317;2;-1
33;management;single;tertiary;0;no;no;aug;236;10;-1
29;admin.;single;secondary;428;yes;yes;may;54;1;345
34;management;single;tertiary;0;no;no;feb;71;1;-1
52;management;married;tertiary;-970;yes;no;feb;489;1;-1
60;management;married;unknown;6313;no;no;jun;39;2;-1
32;management;divorced;tertiary;948;no;no;aug;204;2;-1
32;management;single;tertiary;0;yes;no;jul;455;2;-1
56;services;divorced;unknown;1877;yes;no;may;86;1;-1
31;management;single;tertiary;874;yes;no;nov;190;2;-1
42;admin.;married;secondary;323;yes;yes;may;280;2;-1
35;management;married;tertiary;106;no;yes;aug;588;2;-1
56;retired;married;primary;1906;no;yes;jun;45;9;-1
48;technician;married;secondary;1152;yes;no;jul;168;5;-1
46;admin.;married;secondary;179;yes;no;jan;194;4;436
37;technician;single;unknown;391;yes;no;may;103;3;-1
41;entrepreneur;married;unknown;89;yes;no;may;333;2;-1
36;management;single;tertiary;442;yes;yes;jul;102;3;-1
45;unemployed;divorced;primary;-249;yes;yes;jul;92;1;-1
55;entrepreneur;married;secondary;8104;no;no;feb;213;2;-1
39;technician;married;secondary;501;no;no;may;289;1;-1
35;technician;divorced;secondary;308;no;no;aug;77;2;-1
55;admin.;married;secondary;602;no;no;jun;324;3;90
55;technician;married;secondary;273;yes;no;jan;84;3;183
27;self-employed;single;secondary;50;no;no;jan;168;1;-1
34;technician;married;secondary;1641;yes;no;apr;380;1;-1
34;blue-collar;married;tertiary;20;no;no;oct;10;1;-1
25;admin.;single;secondary;4590;yes;no;may;199;2;-1
41;admin.;single;secondary;-256;no;yes;may;35;3;-1
43;services;married;secondary;978;yes;yes;may;82;2;-1
28;management;single;tertiary;80;no;no;oct;676;2;146
31;admin.;single;secondary;2104;yes;no;jun;455;1;-1
78;housemaid;married;secondary;499;no;no;mar;80;4;-1
45;blue-collar;divorced;secondary;1269;yes;no;jan;549;2;-1
48;technician;married;tertiary;310;no;no;may;135;1;-1
32;blue-collar;single;secondary;1143;yes;yes;jul;412;1;-1
42;technician;married;secondary;2980;no;no;jun;101;3;-1
37;management;single;tertiary;37;no;no;jan;253;2;-1
40;admin.;single;secondary;462;yes;yes;apr;272;1;335
32;admin.;married;secondary;1031;yes;no;jul;84;1;-1
42;management;married;tertiary;9009;no;no;nov;135;2;-1
43;admin.;married;secondary;-465;yes;yes;jul;166;1;-1
44;admin.;married;secondary;5181;yes;yes;jul;18;7;-1
37;admin.;married;secondary;176;yes;no;may;147;2;347
37;unknown;married;unknown;1699;no;no;jun;63;1;-1
37;admin.;married;tertiary;0;yes;no;nov;65;2;119
28;technician;single;tertiary;172;yes;yes;feb;194;2;-1
32;services;single;secondary;0;no;yes;jul;333;2;-1
34;admin.;single;secondary;6979;yes;no;may;14;5;-1
40;admin.;divorced;secondary;6;no;no;jun;140;1;-1
34;services;married;secondary;-62;yes;no;jun;109;3;-1
34;self-employed;married;tertiary;1972;yes;no;jul;61;2;-1
34;admin.;married;tertiary;899;yes;no;nov;377;3;7
37;services;single;secondary;21;yes;no;feb;96;1;271
36;technician;married;secondary;23;yes;no;may;152;2;347
56;retired;married;secondary;-1206;yes;no;jun;382;2;-1
49;blue-collar;married;primary;0;yes;yes;jul;97;6;-1
33;self-employed;married;secondary;215;yes;no;jul;543;12;-1
30;management;single;tertiary;1372;no;no;nov;240;2;-1
36;services;married;secondary;1981;no;no;jun;48;2;-1
23;student;single;secondary;9216;no;no;jun;471;2;-1
57;retired;divorced;secondary;39;yes;no;jul;354;3;-1
27;blue-collar;single;secondary;5563;yes;no;may;435;2;-1
38;services;married;secondary;1;no;yes;nov;152;2;-1
42;technician;married;tertiary;782;no;no;apr;285;1;-1
75;retired;married;secondary;3771;no;no;apr;185;1;181
34;technician;single;tertiary;992;yes;no;may;301;1;88
48;technician;married;secondary;1526;no;no;aug;273;2;-1
35;technician;single;tertiary;2658;yes;no;aug;768;2;141
39;management;divorced;tertiary;1315;yes;no;nov;1337;4;126
29;blue-collar;single;tertiary;455;no;no;apr;403;1;-1
45;technician;single;tertiary;0;yes;no;nov;139;2;-1
42;technician;married;secondary;2030;yes;yes;jul;196;1;-1
29;technician;married;secondary;1599;yes;no;jul;115;1;61
38;services;single;secondary;-196;yes;no;feb;60;1;271
56;retired;married;secondary;1333;no;no;aug;17;14;-1
36;technician;single;secondary;9149;yes;no;aug;141;3;-1
25;blue-collar;single;secondary;-350;yes;no;jun;95;3;-1
38;technician;married;tertiary;432;yes;no;may;10;2;373
57;self-employed;married;secondary;11494;no;no;nov;198;1;-1
31;management;married;tertiary;-253;no;no;aug;220;4;-1
42;management;married;tertiary;372;yes;no;aug;654;2;-1
45;technician;married;secondary;1410;no;no;aug;71;2;-1
30;blue-collar;married;secondary;975;yes;no;may;256;2;351
49;blue-collar;married;primary;305;yes;yes;jul;834;10;-1
49;services;married;secondary;400;no;no;aug;151;3;-1
53;retired;married;tertiary;-22;yes;no;jul;20;3;-1
37;technician;married;secondary;4030;yes;no;may;178;5;-1
49;blue-collar;married;primary;365;no;no;may;59;2;-1
41;self-employed;married;primary;204;no;no;aug;111;7;-1
54;management;married;primary;1691;yes;no;nov;186;1;-1
32;services;single;secondary;406;yes;no;may;227;1;-1
33;technician;married;secondary;-204;no;no;may;297;3;-1
33;technician;married;secondary;359;yes;no;apr;210;1;242
36;blue-collar;married;primary;123;yes;no;may;9;1;-1
35;technician;married;tertiary;0;yes;yes;sep;112;1;62
52;unknown;married;secondary;142;no;no;aug;112;6;-1
40;entrepreneur;married;tertiary;3571;no;no;jun;222;3;-1
44;technician;single;secondary;33;yes;no;may;195;3;351
45;blue-collar;single;secondary;0;yes;no;jul;768;2;91
30;student;single;secondary;3096;no;no;jan;123;1;-1
48;technician;divorced;secondary;20;no;no;aug;145;3;-1
33;blue-collar;married;secondary;3576;yes;no;apr;124;1;308
57;technician;married;unknown;206;yes;no;may;216;3;-1
57;housemaid;married;primary;7082;no;no;jun;69;3;-1
51;unemployed;married;tertiary;1634;yes;no;jul;168;4;-1
34;admin.;single;secondary;1;yes;no;jul;483;7;-1
50;self-employed;married;tertiary;4012;no;no;nov;690;3;-1
44;management;married;tertiary;3762;no;no;aug;125;12;-1
27;admin.;married;secondary;-247;yes;yes;jun;344;2;-1
50;blue-collar;married;secondary;606;yes;no;may;673;2;-1
36;management;married;tertiary;0;yes;no;jan;60;1;250
42;management;married;secondary;-189;yes;no;may;247;2;-1
32;unemployed;single;secondary;0;no;no;may;123;2;-1
42;management;married;tertiary;484;yes;no;jul;144;2;-1
43;technician;married;secondary;0;no;yes;may;9;2;172
31;management;married;tertiary;395;yes;no;feb;155;3;-1
32;management;married;tertiary;2349;no;no;aug;134;5;-1
55;blue-collar;divorced;primary;410;no;yes;jul;221;2;-1
58;retired;married;primary;3401;yes;no;feb;84;3;265
46;blue-collar;married;primary;222;no;no;aug;71;2;-1
55;blue-collar;married;secondary;989;yes;yes;may;246;4;-1
34;management;married;tertiary;415;no;yes;jul;361;2;-1
28;unemployed;single;secondary;16;no;no;aug;119;4;-1
42;technician;divorced;tertiary;7190;yes;no;jul;375;2;-1
29;blue-collar;single;secondary;482;no;yes;jul;1097;3;-1
54;housemaid;married;secondary;209;yes;yes;jul;97;1;-1
32;technician;single;secondary;0;no;no;aug;181;2;-1
39;technician;single;tertiary;5803;no;no;feb;83;3;-1
53;entrepreneur;married;tertiary;624;no;yes;jul;180;4;-1
58;technician;married;tertiary;883;no;no;aug;543;1;78
40;self-employed;married;secondary;1516;yes;yes;may;373;1;-1
29;student;single;secondary;872;yes;no;may;230;1;-1
33;technician;married;tertiary;-988;yes;yes;jul;83;3;-1
38;admin.;single;secondary;902;yes;no;jul;58;13;-1
56;services;divorced;secondary;1007;no;no;jul;88;6;-1
40;services;married;secondary;0;yes;no;jun;297;1;28
24;blue-collar;single;secondary;174;yes;yes;may;487;1;-1
46;management;married;secondary;12186;no;no;jun;29;3;-1
35;self-employed;married;secondary;524;yes;no;nov;484;4;-1
35;blue-collar;single;tertiary;0;yes;no;jul;262;4;-1
34;technician;married;secondary;4;yes;no;may;644;1;-1
35;housemaid;married;tertiary;11219;no;no;aug;699;2;79
38;technician;single;tertiary;0;no;no;aug;247;2;-1
50;blue-collar;married;primary;5776;no;no;nov;49;3;-1
51;blue-collar;divorced;primary;37;yes;no;may;341;1;-1
59;self-employed;married;tertiary;593;no;no;may;64;2;-1
32;blue-collar;married;secondary;1148;yes;no;apr;121;1;-1
37;blue-collar;single;secondary;3561;yes;no;jun;98;1;-1
42;admin.;divorced;secondary;63;no;no;may;88;6;-1
40;student;married;secondary;260;no;no;jun;197;6;-1
28;technician;single;tertiary;2269;yes;no;may;331;1;-1
47;admin.;married;secondary;1060;yes;no;jun;83;3;-1
27;self-employed;married;secondary;-220;yes;no;may;138;2;-1
41;management;married;tertiary;49;yes;no;jul;312;5;-1
34;admin.;married;tertiary;69;no;yes;aug;120;3;1
50;blue-collar;married;primary;4108;yes;no;aug;526;2;-1
47;blue-collar;married;secondary;480;yes;no;may;211;2;-1
53;services;married;secondary;4994;no;no;aug;62;6;-1
53;technician;divorced;secondary;0;yes;yes;jul;135;5;-1
47;management;married;tertiary;3681;no;no;aug;101;2;-1
49;entrepreneur;divorced;unknown;-701;yes;no;jul;988;2;-1
29;management;married;tertiary;451;no;no;jan;451;1;-1
45;blue-collar;divorced;primary;-311;yes;no;may;1030;1;-1
38;entrepreneur;married;secondary;593;yes;yes;jul;1484;24;-1
32;blue-collar;married;secondary;759;yes;no;apr;317;5;-1
70;retired;divorced;primary;4531;no;no;may;445;1;-1
65;retired;divorced;primary;1840;no;no;jun;383;2;188
56;blue-collar;married;secondary;345;yes;no;jul;605;1;-1
35;blue-collar;married;secondary;1287;yes;no;jul;330;2;-1
56;management;married;unknown;353;no;yes;jul;171;2;-1
56;technician;married;secondary;205;no;yes;jul;442;2;-1
49;entrepreneur;married;secondary;687;yes;no;apr;772;1;-1
38;unemployed;married;primary;1147;yes;yes;may;249;5;-1
35;management;married;tertiary;4286;yes;no;may;357;1;-1
38;admin.;married;tertiary;605;no;no;nov;147;2;-1
49;blue-collar;married;secondary;8545;yes;yes;may;199;7;167
55;management;married;unknown;559;no;no;jan;271;2;-1
43;blue-collar;single;primary;2;yes;no;jul;783;3;-1
43;management;married;tertiary;2;no;yes;aug;472;2;-1
25;admin.;single;tertiary;760;yes;no;may;223;3;89
30;blue-collar;married;primary;1317;yes;no;may;395;2;-1
46;blue-collar;married;secondary;182;no;no;feb;56;1;-1
50;admin.;married;primary;276;no;yes;jun;641;6;-1
35;entrepreneur;married;secondary;2971;no;no;may;429;4;164
26;unemployed;single;secondary;1064;no;no;may;113;1;-1
45;admin.;married;unknown;1783;no;no;jun;11;11;-1
37;blue-collar;married;secondary;-67;no;no;feb;157;1;-1
60;self-employed;single;tertiary;179;no;yes;jul;79;4;-1
38;management;married;tertiary;1199;no;no;aug;178;1;1
47;blue-collar;married;primary;214;yes;yes;jun;168;1;-1
33;technician;married;secondary;6699;no;no;nov;425;1;462
51;unemployed;married;secondary;1760;no;yes;nov;162;1;-1
35;entrepreneur;single;tertiary;145;yes;no;jul;799;2;-1
35;unemployed;married;secondary;978;no;no;dec;1370;3;209
48;admin.;single;secondary;1150;yes;no;may;357;1;-1
37;admin.;married;secondary;121;no;no;jul;22;6;-1
29;technician;single;tertiary;828;yes;no;apr;215;3;321
34;admin.;married;secondary;244;yes;no;jul;56;4;-1
32;services;married;primary;228;yes;no;jul;1017;6;-1
30;management;single;tertiary;424;no;no;apr;298;4;-1
47;management;divorced;tertiary;447;no;yes;may;126;1;-1
33;blue-collar;married;primary;-195;no;no;sep;9;1;-1
33;management;single;tertiary;1410;yes;no;feb;8;1;254
63;retired;married;primary;1084;no;no;oct;201;1;183
51;self-employed;divorced;primary;10924;no;no;may;106;2;-1
41;management;married;tertiary;832;yes;yes;nov;164;1;176
56;retired;married;tertiary;478;no;no;feb;97;1;-1
60;management;single;tertiary;0;no;yes;jul;151;1;-1
41;self-employed;single;tertiary;3950;yes;no;may;96;2;-1
37;management;single;unknown;504;yes;no;apr;555;1;-1
36;blue-collar;single;secondary;219;yes;yes;may;270;2;347
57;management;married;tertiary;1602;no;no;jul;339;3;-1
55;management;married;primary;2587;no;no;sep;328;2;94
44;admin.;married;secondary;0;yes;yes;may;159;1;-1
47;self-employed;married;tertiary;2303;yes;no;may;323;2;364
31;blue-collar;married;secondary;1660;yes;no;apr;342;1;-1
35;management;married;tertiary;32;yes;no;nov;180;1;-1
39;management;married;tertiary;278;no;yes;jul;60;3;-1
50;management;married;tertiary;4;no;no;nov;223;1;96
29;management;married;tertiary;318;yes;no;may;1434;2;356
30;services;single;secondary;209;yes;no;may;30;2;-1
46;services;married;secondary;271;yes;no;may;134;4;-1
27;management;single;unknown;3196;no;no;feb;10;2;-1
48;admin.;divorced;secondary;4099;no;no;apr;397;2;-1
26;student;single;secondary;2572;yes;no;may;620;1;-1
36;management;single;tertiary;339;no;no;nov;6;6;-1
42;blue-collar;married;primary;0;yes;yes;may;209;2;-1
50;housemaid;married;primary;395;yes;no;may;419;2;-1
49;blue-collar;married;secondary;2039;yes;no;nov;283;2;-1
45;management;married;tertiary;5450;no;no;aug;188;2;-1
23;student;single;secondary;780;no;no;sep;267;1;-1
38;technician;single;secondary;0;yes;no;apr;196;2;-1
32;management;single;tertiary;8436;yes;no;apr;245;1;149
60;technician;single;primary;11262;no;no;aug;323;1;-1
30;entrepreneur;married;secondary;946;yes;no;nov;1065;1;183
58;housemaid;married;tertiary;497;no;no;jun;138;5;-1
60;retired;married;primary;55;no;no;jun;207;1;-1
38;services;married;secondary;-140;no;no;jun;456;3;-1
51;technician;married;secondary;-379;yes;no;aug;261;1;-1
42;admin.;married;secondary;-396;yes;no;may;80;1;308
30;services;single;secondary;0;yes;no;may;131;6;363
40;management;married;primary;733;yes;no;jun;94;7;-1
37;management;married;tertiary;393;yes;no;may;567;3;275
53;technician;divorced;primary;7290;yes;no;may;153;1;-1
27;services;single;secondary;468;yes;no;may;109;1;-1
39;blue-collar;married;secondary;0;yes;no;apr;53;1;325
39;blue-collar;married;primary;3705;yes;no;jun;77;1;-1
59;retired;married;tertiary;9676;no;no;mar;234;2;-1
37;services;married;secondary;1328;yes;no;may;121;2;341
41;blue-collar;married;primary;8;yes;no;jul;155;2;-1
45;blue-collar;married;primary;61;no;no;apr;108;1;-1
48;management;married;tertiary;6613;no;no;jun;159;3;-1
48;technician;married;secondary;302;yes;no;may;208;3;-1
32;blue-collar;married;secondary;1005;no;no;may;215;1;-1
35;services;married;secondary;109;yes;no;may;597;3;-1
33;management;single;tertiary;1240;yes;no;feb;505;2;260
28;blue-collar;single;primary;0;yes;yes;jun;380;4;-1
64;retired;married;unknown;2923;no;no;mar;120;1;-1
35;technician;married;secondary;0;no;no;aug;106;4;-1
33;blue-collar;married;secondary;43;yes;no;may;332;2;358
41;technician;married;secondary;288;yes;no;may;221;4;-1
34;admin.;married;secondary;613;yes;no;jun;80;1;-1
37;technician;single;tertiary;6101;no;no;may;60;5;87
38;blue-collar;married;primary;168;yes;yes;may;212;3;-1
39;blue-collar;married;primary;7685;yes;no;apr;493;3;-1
35;technician;divorced;tertiary;4515;yes;no;nov;98;2;-1
28;blue-collar;single;secondary;517;no;yes;jul;681;1;-1
27;blue-collar;single;secondary;148;no;no;jul;203;1;-1
48;retired;married;primary;-285;no;yes;nov;157;1;-1
50;blue-collar;married;secondary;887;no;no;jun;287;1;-1
45;self-employed;married;secondary;3098;yes;no;aug;159;2;-1
41;technician;married;tertiary;744;yes;no;may;125;1;-1
39;technician;married;secondary;130;no;no;jul;202;2;-1
44;management;married;secondary;438;yes;no;may;37;3;303
54;admin.;married;secondary;0;no;no;jan;161;1;98
49;management;married;tertiary;322;no;no;aug;72;4;-1
34;blue-collar;single;secondary;186;no;no;feb;342;1;-1
75;retired;divorced;tertiary;3810;yes;no;nov;262;1;183
42;management;married;tertiary;0;no;no;aug;325;2;-1
53;blue-collar;married;secondary;4380;no;no;aug;223;7;-1
49;management;divorced;tertiary;755;no;no;jul;1212;4;-1
31;services;single;secondary;2070;no;no;aug;319;2;-1
45;blue-collar;single;primary;999;no;no;jan;182;2;-1
39;self-employed;married;secondary;167;yes;yes;jul;330;1;-1
46;technician;married;secondary;1322;yes;yes;nov;514;1;-1
42;admin.;divorced;secondary;1076;yes;no;may;213;1;-1
37;management;married;tertiary;502;yes;no;may;551;1;351
26;technician;single;tertiary;1216;yes;no;apr;472;2;-1
37;management;single;tertiary;876;yes;no;apr;140;4;327
36;services;single;secondary;342;yes;no;may;142;1;-1
29;blue-collar;single;primary;950;yes;no;jun;135;3;-1
36;blue-collar;married;primary;973;yes;yes;may;293;1;-1
26;technician;married;tertiary;3825;yes;no;may;107;1;-1
32;blue-collar;married;secondary;2366;yes;no;may;127;2;-1
40;management;married;tertiary;542;yes;no;nov;1816;1;-1
53;management;married;primary;995;no;no;feb;200;3;-1
29;management;married;tertiary;20;yes;no;may;418;1;-1
34;technician;single;tertiary;228;yes;no;jul;387;4;-1
43;blue-collar;married;secondary;130;no;no;may;156;1;337
56;management;married;tertiary;217;no;yes;jul;121;2;-1
55;entrepreneur;divorced;tertiary;0;no;no;jun;108;2;-1
31;self-employed;married;tertiary;259;yes;no;may;47;1;-1
27;admin.;single;secondary;619;yes;no;apr;16;5;322
36;management;married;secondary;644;yes;no;nov;54;2;-1
44;management;married;tertiary;22;yes;no;aug;265;2;-1
37;admin.;divorced;tertiary;4303;yes;no;may;168;1;-1
30;admin.;single;secondary;239;yes;no;may;115;3;-1
42;technician;single;secondary;275;no;no;aug;31;8;-1
30;management;married;tertiary;1221;yes;no;jul;279;4;-1
62;retired;married;secondary;816;no;no;sep;28;2;-1
24;blue-collar;married;secondary;1222;yes;no;apr;369;1;-1
31;technician;married;secondary;2363;yes;no;may;247;1;-1
66;retired;married;tertiary;2262;no;no;apr;155;1;-1
47;admin.;married;secondary;2;no;no;jul;89;1;-1
39;entrepreneur;married;tertiary;2;yes;no;nov;180;1;-1
35;technician;married;secondary;4508;yes;no;nov;854;1;-1
35;admin.;divorced;secondary;-402;yes;no;apr;46;1;-1
27;technician;married;secondary;1577;yes;yes;may;266;2;-1
32;blue-collar;married;secondary;34;yes;no;may;321;2;-1
44;management;married;tertiary;795;no;no;aug;99;24;-1
42;blue-collar;married;secondary;117;yes;no;may;147;1;-1
34;self-employed;single;tertiary;5462;no;no;apr;430;1;-1
25;services;single;secondary;402;no;yes;jul;264;1;-1
40;technician;single;secondary;641;no;no;jul;156;6;-1
43;management;divorced;tertiary;36;no;no;may;118;1;102
55;unemployed;married;tertiary;383;no;no;may;343;3;-1
50;blue-collar;married;secondary;283;yes;no;aug;226;3;-1
45;management;divorced;tertiary;0;no;no;jun;5;1;-1
35;blue-collar;divorced;secondary;3102;yes;no;nov;138;1;-1
32;blue-collar;married;secondary;889;yes;no;sep;185;1;99
59;housemaid;married;secondary;0;no;no;feb;722;1;99
34;self-employed;married;secondary;-370;yes;no;may;748;1;-1
39;management;married;tertiary;-606;yes;no;may;142;1;-1
40;management;single;secondary;10378;yes;no;nov;523;3;-1
36;blue-collar;single;primary;1313;yes;no;jun;8;10;-1
40;management;married;tertiary;8969;yes;no;nov;153;1;-1
55;self-employed;married;secondary;-196;yes;no;may;210;2;-1
38;entrepreneur;married;secondary;15;yes;no;jul;121;1;-1
61;admin.;married;secondary;4608;no;no;mar;212;1;-1
41;management;married;tertiary;666;yes;no;may;253;3;-1
57;blue-collar;married;primary;452;yes;no;may;139;4;-1
48;blue-collar;married;secondary;149;yes;no;may;71;1;-1
77;retired;married;tertiary;7802;no;no;may;421;1;92
35;services;married;secondary;1453;yes;no;may;199;1;-1
54;blue-collar;married;secondary;1480;yes;no;may;108;1;-1
37;management;single;unknown;715;yes;no;may;247;2;-1
56;management;single;secondary;237;yes;no;jul;236;4;-1
40;technician;married;secondary;694;yes;no;feb;97;4;196
